datap,median,total,size,clade,numtaxa
Brocklehurst_et_Benevento_2020aa.nex,0.474747475,0.473531778,495,Meso_mammals,1
Arribas_etal_2019aa.nex,0.342105263,0.348370927,494,Non_dinosaur_archosauro,1
Arribas_etal_2019ab.nex,0.346153846,0.351601031,494,Non_dinosaur_archosauro,1
Ristevski_etal_2018ab.nex,0.348178138,0.36378889,494,Non_dinosaur_archosauro,1
Gorscak_etal_2017a.nex,0.60851927,0.561513361,493,Dinosaurs,1
Gianechini_etal_2017a.nex,0.612804878,0.566859221,492,Dinosaurs,1
Gorsack_et_OConnor_2016aa.nex,0.611788618,0.556097561,492,Dinosaurs,1
Gorsack_et_OConnor_2016ab.nex,0.611788618,0.556097561,492,Dinosaurs,1
Xu_etal_2018ab.nex,0.50101833,0.484894773,491,Dinosaurs,1
Luo_etal_2015a.nex,0.451120163,0.458575793,491,Meso_mammals,1
Ruta_etal_2007a.nex,0.892057026,0.854179835,491,Non_amniote_tetrapods,1
Martin_etal_2015ab.nex,0.448979592,0.459992646,490,Meso_mammals,1
Holwerda_etal_2019ab.nex,0.534764826,0.533463469,489,Dinosaurs,1
Tschopp_et_Mateus_2017a.nex,0.501022495,0.485480573,489,Dinosaurs,1
Groh_etal_2020aa.nex,0.487679671,0.482069522,487,Non_dinosaur_archosauro,1
Andrade_etal_2011a.nex,0.339506173,0.361255336,486,Non_dinosaur_archosauro,1
Halliday_etal_2015a.nex,0.339506173,0.370707071,486,Non_dinosaur_archosauro,1
Kubo_etal_2018aa.nex,0.305555556,0.328713409,486,Non_dinosaur_archosauro,0.971698113
Puertolas-Pascual_etal_2015aa.nex,0.342592593,0.364291059,486,Non_dinosaur_archosauro,1
Puertolas-Pascual_etal_2015ab.nex,0.339506173,0.361309322,486,Non_dinosaur_archosauro,1
Montefeltro_etal_2013b.nex,0.414256198,0.447199265,484,Non_dinosaur_archosauro,1
Lecuona_etal_2017a.nex,0.385093168,0.455091074,483,Non_dinosaur_archosauro,1
Romano_etal_2017aa.nex,0.573651452,0.518911586,482,Non_mammal_synapsid,1
Romano_etal_2017ab.nex,0.618257261,0.531581374,482,Non_mammal_synapsid,1
Azuma_etal_2016a.nex,0.605870021,0.572214735,477,Dinosaurs,1
Brusatte_etal_2013a.nex,0.628930818,0.588113028,477,Dinosaurs,1
Coria_etal_2019a.nex,0.676100629,0.653295495,477,Dinosaurs,1
Evans_etal_2013ba.nex,0.628930818,0.590910706,477,Dinosaurs,1
Han_etal_2014a.nex,0.70230608,0.660483061,477,Dinosaurs,1
Kundrat_etal_2019ab.nex,0.591194969,0.559748428,477,Dinosaurs,1
Lu_et_Brusatte_2015a.nex,0.69706499,0.659696017,477,Dinosaurs,1
Parsons_et_Parsons_2015a.nex,0.628930818,0.590519845,477,Dinosaurs,1
Pei_etal_2014a.nex,0.628930818,0.586697486,477,Dinosaurs,1
Poust_etal_2020a.nex,0.596436059,0.558522546,477,Dinosaurs,1
Sues_et_Averianov_2014aa.nex,0.628930818,0.591354866,477,Dinosaurs,1
Sues_et_Averianov_2014ab.nex,0.628930818,0.590573144,477,Dinosaurs,1
Tschopp_etal_2015a.nex,0.675052411,0.651681031,477,Dinosaurs,1
Turner_etal_2011a.nex,0.587002096,0.550167715,477,Dinosaurs,1
Turner_etal_2012a.nex,0.628930818,0.588113028,477,Dinosaurs,1
Woodruff_etal_2018ab.nex,0.390985325,0.439870402,477,Dinosaurs,1
Romano_et_Nicosia_2015a.nex,0.534591195,0.501551363,477,Non_mammal_synapsid,1
Romano_et_Nicosia_2015b.nex,0.534591195,0.501551363,477,Non_mammal_synapsid,1
Close_etal_inpressad.nex,0.448421053,0.459866029,475,Meso_mammals,1
Close_etal_inpressbb.nex,0.458947368,0.466597744,475,Meso_mammals,1
Panciroli_etal_inpressa.nex,0.458947368,0.466409774,475,Meso_mammals,1
Zhou_etal_2013a.nex,0.448421053,0.460019139,475,Meso_mammals,1
Choiniere_etal_2010a.nex,0.581567797,0.558827684,472,Dinosaurs,1
Mayr_etal_2015ab.nex,0.012931034,0.117000292,464,Bird,0.949152542
Smith_2010a.nex,0.012931034,0.118388369,464,Bird,0.949152542
Garcia_etal_2019bb.nex,0.603896104,0.564604023,462,Non_dinosaur_archosauro,1
Muller_etal_2018cb.nex,0.603896104,0.559601113,462,Non_dinosaur_archosauro,1
Sachs_etal_2019aa.nex,0.512987013,0.530984167,462,Non_dinosaur_archosauro,1
Sachs_etal_2019ab.nex,0.514069264,0.533053752,462,Non_dinosaur_archosauro,1
Baron_2019aa.nex,0.624454148,0.580320233,458,Dinosaurs,1
Baron_2019ab.nex,0.597161572,0.552947598,458,Dinosaurs,1
Baron_etal_2017b.nex,0.597161572,0.551206072,458,Dinosaurs,1
Yuan_etal_2013aa.nex,0.410480349,0.448257395,458,Meso_mammals,1
Baron_et_Williams_2018aa.nex,0.637554585,0.600756204,458,Non_dinosaur_archosauro,1
Baron_et_Barrett_2017a.nex,0.625820569,0.58018542,457,Dinosaurs,1
Baron_etal_2017a.nex,0.625820569,0.578818381,457,Dinosaurs,1
Cerny_et_Simonoff_2023aa.nex,0.603938731,0.556586433,457,Dinosaurs,1
Cerny_et_Simonoff_2023ab.nex,0.579868709,0.536263215,457,Dinosaurs,1
Garcia_etal_2019ac.nex,0.582056893,0.542096488,457,Dinosaurs,1
Griffin_etal_2022aa.nex,0.579868709,0.536903076,457,Dinosaurs,1
Griffin_etal_2022ac.nex,0.599562363,0.55234908,457,Dinosaurs,1
Langer_etal_2017a.nex,0.599562363,0.552925048,457,Dinosaurs,1
Muller_et_Dias-da-Silva_2019a.nex,0.598468271,0.553193706,457,Dinosaurs,1
Muller_etal_2018a.nex,0.625820569,0.58018542,457,Dinosaurs,1
Muller_etal_2018dd.nex,0.579868709,0.535946851,457,Dinosaurs,1
Nesbitt_et_Sues_2021aa.nex,0.617067834,0.560583516,457,Dinosaurs,1
Nesbitt_et_Sues_2021ab.nex,0.579868709,0.537106852,457,Dinosaurs,1
Nesbitt_et_Sues_2021ac.nex,0.579868709,0.536131396,457,Dinosaurs,1
Parry_etal_2017a.nex,0.625820569,0.578818381,457,Dinosaurs,1
Luo_etal_2015bb.nex,0.573304158,0.600548248,457,Meso_mammals,1
Ezcurra_etal_2020a.nex,0.577680525,0.531007852,457,Non_dinosaur_archosauro,1
Mestriner_etal_2023aa.nex,0.579868709,0.537263483,457,Non_dinosaur_archosauro,1
Nesbitt_etal_2020a.nex,0.577680525,0.532572302,457,Non_dinosaur_archosauro,1
Foffa_etal_2019a.nex,0.515350877,0.535463659,456,Non_dinosaur_archosauro,1
Osi_etal_2018aa.nex,0.556167401,0.567448081,454,Non_dinosaur_archosauro,1
Close_etal_inpressaa.nex,0.439293598,0.453290639,453,Meso_mammals,1
Krause_etal_inpressa.nex,0.439293598,0.453290639,453,Meso_mammals,1
Averianov_etal_2023a.nex,0.766146993,0.689831878,449,Dinosaurs,1
Moore_etal_2023a.nex,0.763919822,0.686069143,449,Dinosaurs,1
Lio_etal_2018a.nex,0.546875,0.557657047,448,Non_dinosaur_archosauro,1
Luo_etal_2011aa.nex,0.383408072,0.433649702,446,Meso_mammals,1
Ni_etal_2016bb.nex,0.385650224,0.437607796,446,Meso_mammals,1
Ji_etal_2009ab.nex,0.382022472,0.437700447,445,Meso_mammals,1
Luo_etal_2007b.nex,0.382022472,0.438638595,445,Meso_mammals,1
Upchurch_etal_2021ab.nex,0.751126126,0.689295428,444,Dinosaurs,1
Ni_etal_2010a.nex,0.11036036,0.155978012,444,Primates,0.881355932
Diogo_2005a.nex,0.002267574,0.005926613,441,Actinopterygians,0.659090909
Moore_etal_2020aa.nex,0.725623583,0.658474801,441,Dinosaurs,1
Motta_etal_2020a.nex,0.5430839,0.532115745,441,Dinosaurs,1
Phillips_etal_2009a.nex,0.385487528,0.445649093,441,Monotremes,1
Rowe_etal_2008a.nex,0.388636364,0.448106061,440,Monotremes,1
